,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0
2020-09-23 14:01:00,-0.5,-1.5,1.5,0.5,-0.5,1.5,0.5,-1.5,1.5,1.5,0.0,1.0
2020-09-23 14:02:00,0.0,-2.0,1.6666666666666667,0.3333333333333333,-0.3333333333333333,1.6666666666666667,0.6666666666666666,-1.3333333333333333,2.0,1.6666666666666667,0.0,1.3333333333333333
2020-09-23 14:03:00,0.5,-2.5,1.75,0.0,-0.5,1.75,1.0,-1.5,2.5,2.0,0.0,1.25
2020-09-23 14:04:00,0.6,-2.8,1.8,0.0,-0.6,1.8,1.4,-1.6,2.6,2.4,-0.2,1.4
2020-09-23 14:05:00,0.8333333333333334,-3.0,1.6666666666666667,0.0,-0.6666666666666666,1.6666666666666667,1.8333333333333333,-1.8333333333333333,2.6666666666666665,2.8333333333333335,-0.5,1.6666666666666667
2020-09-23 14:06:00,1.0,-3.2857142857142856,1.5714285714285714,0.0,-0.8571428571428571,1.4285714285714286,2.142857142857143,-2.142857142857143,2.5714285714285716,3.142857142857143,-0.7142857142857143,2.0
2020-09-23 14:07:00,1.0,-3.375,1.5,0.0,-0.875,1.125,2.5,-2.375,2.375,3.375,-0.875,2.375
2020-09-23 14:08:00,0.8888888888888888,-3.4444444444444446,1.3333333333333333,0.1111111111111111,-1.0,1.0,2.7777777777777777,-2.4444444444444446,2.2222222222222223,3.5555555555555554,-0.8888888888888888,2.7777777777777777
2020-09-23 14:09:00,0.8,-3.4,1.1,0.3,-1.2,1.0,3.1,-2.5,2.0,3.8,-1.0,3.0
2020-09-23 14:10:00,0.6363636363636364,-3.272727272727273,0.8181818181818182,0.45454545454545453,-1.4545454545454546,1.0,3.4545454545454546,-2.4545454545454546,1.8181818181818181,4.0,-1.0909090909090908,3.272727272727273
2020-09-23 14:11:00,0.5833333333333334,-3.0833333333333335,0.5,0.5,-1.75,0.9166666666666666,3.8333333333333335,-2.4166666666666665,1.5833333333333333,4.25,-1.1666666666666667,3.5
